,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.0521220338414423,-0.31883480043644147,-0.3599494441561714,-0.4443917196982979,0.051274551425713855,1.2674808295845716,0.3844279058126493,0.7522540538220762,-0.02187484201356482,1.159925278862013,-0.5991258452729831,0.17090713714047082,-0.5816154851642984,0.6834392434549099,0.7872483603425733,0.30087083192783864,0.518167702187768,-0.6956034034824223,0.5643632604949813
0.1012746374356841,-0.29621177128553594,-0.3988302310845793,-0.3732358857412118,0.1497068933748152,1.4334047497563414,0.3049298471226466,0.8939094543100745,0.051735976903895114,1.2294320614218168,-0.7237633224371381,0.0915337650261853,-0.7423694086379327,0.9698498346450073,0.8628998812240456,0.37362946634574823,0.49166372420810767,-0.8833257765271394,0.5144072783701109
0.1539968752643593,-0.2654782235835901,-0.405338273412402,-0.2528196479902824,0.33104665321712723,1.6190009200345772,0.2224592935934463,1.0289090732746944,0.22850242264992082,1.2563006316147973,-0.863265006432684,0.036568019489628095,-0.9577185684854933,1.286540786414224,0.9049160963223313,0.39203204006803105,0.4626928963555228,-1.078075565994065,0.45224300833962766
0.2018704113152125,-0.2626328185855922,-0.36471832594149745,-0.0775291193609007,0.5476442500150119,1.7783750956860076,0.1211330949712286,1.1595733440959033,0.3145895709343682,1.305207063050376,-0.9474728166784585,-0.008309763199145087,-1.0997068640463816,1.55200493342632,0.9125367574395752,0.3793214826038118,0.34676969847353234,-1.272259631314153,0.3299064776575713
0.25059800151818,-0.219909929606198,-0.2316514101800208,0.1842536748453945,0.8082399126762037,1.8896759313181366,0.0026461781272333895,1.2627901387273028,0.39886602785009484,1.3127358135931053,-1.0453358372329582,0.005468303641222472,-1.2197909091891441,1.720500001008765,0.9179788836593967,0.37179991287628245,0.21372685291148874,-1.3943194704693533,0.15647882138962488
0.3032420831978015,-0.15834990619455558,-0.022528791215084387,0.405494518902007,1.0557387096773287,1.9397643427496094,-0.0929426756397847,1.2752751607958606,0.44106250959396015,1.319485851911337,-1.1409385287175975,0.004352893546733461,-1.2914277459915786,1.8325477063261788,0.9474413872141205,0.38033255154356505,0.032965428408482045,-1.4716918104002106,-0.019607025587677684
0.3507181681707152,-0.006432761652337693,0.2140143534790245,0.6753565932905679,1.2881433703637737,1.9153381919290626,-0.1751057435092911,1.2188762901137309,0.48018357878152257,1.3371136317007914,-1.217999771046527,0.044863343120993326,-1.3113758773061168,1.9014695895364522,1.0051565993348084,0.4276308403544489,-0.11368264296026065,-1.5131446086360358,-0.2155131702423665
0.4018823801558635,0.18279659087797012,0.49728967872979246,0.8738509850969881,1.4544271333672438,1.8309822995492193,-0.2372640902429236,1.2376501443165115,0.4396796299928629,1.3410983471747062,-1.281807938089078,0.13565365337603774,-1.361798695580737,1.933420742143925,1.13082115941372,0.40068763609414204,-0.18232310475685276,-1.5484150203024467,-0.369325113013228
0.4544401880172397,0.4281755358254842,0.7749356152004467,1.0395189147151285,1.5612737734718745,1.7179508440590128,-0.24572770632306273,1.2325691383926554,0.4589574533993766,1.3337692273360877,-1.3359681323077284,0.2386250538766479,-1.3737137506447987,1.9260443450326767,1.2724622867352913,0.3788810360752868,-0.19731969763840307,-1.5387258543153777,-0.48721611449774516
0.500961786299437,0.666904117120206,1.0540401867288032,1.1957415688293493,1.6364040456921147,1.5163314368019198,-0.21037129259638293,1.29737787413194,0.5405909490008965,1.2720678813996384,-1.31944303296439,0.39400917343245834,-1.3994276317577856,1.913652461396369,1.4148116901887757,0.41514162633406737,-0.1395095378906528,-1.4653189276079757,-0.5325753292798079
0.5546518514820491,0.9345503186684644,1.3217509495351893,1.3778683919693606,1.645420297392234,1.3028585201654372,-0.14212712767260166,1.3919486574077014,0.719692971522581,1.1925530569318574,-1.1721472550402101,0.579954789464838,-1.452373015503814,1.9131669904292987,1.564675562055842,0.5338339054204972,0.0019380968297348922,-1.3080182771382394,-0.4600572861097407
0.6035260631248699,1.1816279799732996,1.62236472727955,1.6147815816820554,1.6453277786633302,1.067071098953753,-0.012121314029499342,1.4661217258410588,0.9609696465254607,1.0139501098166281,-0.8346039285711789,0.7525569126695895,-1.451660547679013,1.9995276626895817,1.700890088644903,0.7606364185525919,0.22923069959505982,-1.0647769219564127,-0.2718797721870809
0.650483875920448,1.4182521554011367,1.9152097066564788,1.937891483068837,1.6549568998046649,0.7894902279770318,0.2063679141617738,1.5124506467101075,1.315198397787103,0.8044929499464131,-0.4086258563937619,0.9602813518934828,-1.3315220002954495,2.1854109117886145,1.8002920649941818,0.9967076125906384,0.5361633858229228,-0.7778364771582078,-0.020186144551197494
0.7026700959722803,1.7164981162467372,2.2106991806445015,2.3817171170021996,1.7009680991573959,0.54468572987102,0.44162459424520667,1.4860820434487132,1.7347163797745881,0.5549347650662844,0.13242507632848666,1.2617080525213773,-1.097329811996522,2.4843889553674896,1.917794297381172,1.2736273890760612,0.9218931110310892,-0.4609326430120346,0.2776902811202808
0.7545738337739749,2.0005692666973216,2.489805880052559,2.926321123632226,1.7982044492769893,0.36736696357004145,0.6960532626624046,1.439178058741444,2.201911914085189,0.28140434915042756,0.7797720388664675,1.5915081843141028,-0.7139795690354132,2.9199984082702723,2.0370452743836642,1.6055012125091888,1.2669579195364395,-0.12499317327854192,0.5837583730698854
0.8024157801419278,2.230149938307892,2.799648163070283,3.5590690588380083,1.949218252163103,0.3373422951996231,0.9646993955005179,1.308913462375109,2.6459702799254208,-0.029237129142488216,1.5574481644484273,1.9259027402911442,-0.19713072065552062,3.445290077405292,2.174872666057375,1.9441899014019426,1.632865603461851,0.23512016172353434,0.8674088043406956
0.8518966773187154,2.431452774671811,3.111362121126193,4.247443099270226,2.175946930097753,0.48583103476569484,1.2000113883253898,1.0969362201471866,3.0284825308364267,-0.303069490242043,2.4246707204701243,2.276712801789448,0.368049464306369,4.041767676178253,2.2926467826267514,2.193109106887654,2.00538946843729,0.5609294409523295,1.1550581397439852
